"hgnc_symbol","entrezgene_id"
"SLC26A7",115111
"SLC30A3",7781
"SLC43A3",29015
"SLC44A3-AS1",NA
"SLC44A3-AS1",101928079
"SLC47A2",146802
"SLC6A17",388662
"SLC6A7",6534
"SLIT1",6585
"SLN",6588
"SMC4",10051
"SMIM3",85027
"SMIM43",132332
"SNAI2",6591
"SOCS1",8651
"SOCS2",8835
"SOCS3",9021
"SOD2",6648
"SOHLH1",402381
"SOX11",6664
"SP8",221833
"SP9",100131390
"SPAG4",6676
"SPC24",147841
"SPHKAP",80309
"SPINK8",646424
"SPOCD1",90853
"SPON2",10417
"SPP1",6696
"SPRED3",399473
"SPRY1",10252
"SPRY4",81848
"SSTR2",6752
"ST14",6768
"ST8SIA4",7903
"STAC",6769
"STC1",6781
"STEAP3",55240
"STEAP3-AS1",100874111
"STIL",6491
"STK32B",55351
"STOX1",219736
"STRA6",64220
"STUM",375057
"SULF1",23213
"SUSD2",56241
"SV2B",9899
"SVOP",55530
"SYT1",6857
"TACC3",10460
"TAFA1",407738
"TAGLN",6876
"TAGLN2",8407
"TBX5",6910
"TCAF2",285966
"TCF19",6941
"TCIM",56892
"TDO2",6999
"TEAD2",8463
"TEAD3",7005
"TEAD4",7004
"TEKT1",83659
"TENT5A",55603
"TENT5B",115572
"TES",26136
"TESPA1",9840
"TFPI",7035
"TGFB1I1",7041
"TGFB2",7042
"TGFB2-AS1",NA
"TGFB2-OT1",103611157
"TGFBI",7045
"TGIF1",7050
"THBD",7056
"THBS1",7057
"TIMP1",7076
"TK1",7083
"TM4SF1",4071
"TMEM100",55273
"TMEM151B",441151
"TMEM71",137835
"TMSB15A",11013
"TNC",3371
"TNFAIP6",7130
"TNFAIP8",25816
"TNFRSF11B",4982
"TNFRSF12A",51330
"TNFSF14",8740
"TNR",7143
"TOP2A",7153
"TP73",7161
"TPM4",7171
"TPTEP1",NA
"TPTEP1",387590
"TPX2",22974
"TRAC",NA
"TRAM2",9697
"TRDC",NA
"TREM1",54210
"TRH",7200
"TRHDE",29953
"TRIP13",9319
"TROAP",10024
"TRPC6",7225
"TRPM8",79054
"TTK",7272
"TTPA",7274
"TUBB6",84617
"TWIST1",7291
"TXLNB",167838
"TYMP",1890
"TYMS",7298
"UBD",10537
"UBE2C",11065
"UBE2T",29089
"UCP2",7351
"ULBP1",80329
"ULBP3",79465
"UMODL1-AS1",150147
"UPP1",7378
"USH1C",10083
"VASN",114990
"VAV3",10451
"VDR",7421
"VEGFA",7422
"VGLL3",389136
"VIM",7431
"VIM-AS1",100507347
"VSNL1",7447
"WDR62",284403
"WEE1",7465
"WWTR1",25937
"XRCC2",7516
"ZBED10P",NA
"ZBTB42",100128927
"ZFP36",7538
"ZNF367",195828
"ZWINT",11130
"ZYX",7791
